=== VENTAS POR MES ===
año,mes_nombre,ventas_totales,unidades_totales,ganancia_total
2013,0001-09-01,4484000.03,50601.0,763603.0300000001
2013,0001-10-01,9295611.099999996,95622.0,1657795.0999999999
2013,0001-11-01,7267203.3,65481.0,765502.3
2013,0001-12-01,5368441.08,52970.0,691564.0800000001
2014,0001-01-01,6607761.680000001,67835.5,814028.6799999999
2014,0001-02-01,7297531.390000001,55115.0,1148547.39
2014,0001-03-01,5586859.869999999,53420.0,669866.87
2014,0001-04-01,6964775.07,78886.5,929984.5699999998
2014,0001-05-01,6210211.0600000005,51771.0,828640.06
2014,0001-06-01,9518893.819999997,103302.0,1473753.8200000003
2014,0001-07-01,8102920.180000002,69349.0,923865.6799999998
2014,0001-08-01,5864622.42,60705.0,791066.4199999999
2014,0001-09-01,6398697.24,57280.0,1023132.24
2014,0001-10-01,12375819.919999994,105482.0,1781985.9200000004
2014,0001-11-01,5384214.2,55650.0,604600.2
2014,0001-12-01,11998787.900000002,102336.0,2025765.9000000008


=== TOP 5 PRODUCTOS ===
nombre_producto,ganancia_total,unidades_vendidas
Paseo,4797437.949999999,338239.5
VTT,3034608.0200000005,168783.0
Amarilla,2814104.06,155315.0
Velo,2305992.465,162424.5
Montana,2114754.8800000004,154198.0


=== VENTAS POR SEGMENTO Y PAIS ===
segmento,pais,ventas_totales,ganancia_total
Channel Partners,Canada,491164.13999999984,358978.1399999999
Channel Partners,France,372090.36000000004,271581.36
Channel Partners,Germany,336425.87999999995,247358.87999999998
Channel Partners,Mexico,234379.08000000002,170890.08
Channel Partners,TOTAL,1800593.6399999994,1316803.1400000001
Channel Partners,United States of America,366534.17999999993,267994.67999999993
Enterprise,Canada,3967491.25,-121508.75
Enterprise,France,3890890.625,-95749.375
Enterprise,Germany,4086826.25,-101473.75
Enterprise,Mexico,3315881.25,-120678.75
Enterprise,TOTAL,19611694.375,-614545.625
Enterprise,United States of America,4350605.0,-175135.0
Government,Canada,10741236.52,2258471.5200000005
Government,France,12127782.719999995,2709915.22
Government,Germany,11452895.939999998,2677175.940000002
Government,Mexico,9791599.379999997,2039159.3800000001
Government,TOTAL,52504260.67000004,11388173.169999985
Government,United States of America,8390746.11,1703451.1099999996
Midmarket,Canada,510213.97500000003,132488.97499999998
Midmarket,France,593802.075,164542.07499999998
Midmarket,Germany,301344.75,85354.75
Midmarket,Mexico,511136.4000000001,150546.40000000002
Midmarket,TOTAL,2381883.075,660103.0749999998
Midmarket,United States of America,465385.8749999999,127170.87500000001
Small Business,Canada,9177549.0,900799.0
Small Business,France,7369606.5,730731.5
Small Business,Germany,7327848.0,771973.0
Small Business,Mexico,7096356.0,667606.0
Small Business,TOTAL,42427918.5,4143168.5
Small Business,United States of America,11456559.0,1072059.0
TOTAL,TOTAL,118726350.25999992,16893702.26000001


=== RENTABILIDAD ===
nombre_producto,año,ventas,ganancia,margen_porcentaje
Amarilla,2013,3519132.5300000003,781949.53,22.22
Paseo,2013,5914747.090000001,1099853.0899999999,18.6
VTT,2013,5401427.23,878185.2300000001,16.26
Montana,2013,3975783.0400000005,457758.03999999986,11.51
Velo,2013,6197299.76,621949.76,10.04
Carretera,2013,1406865.86,38768.86,2.76
Montana,2014,11415018.839999996,1656996.84,14.52
Carretera,2014,12408442.025000002,1788036.0250000004,14.41
Amarilla,2014,14227983.529999997,2032154.5299999998,14.28
VTT,2014,15110493.789999997,2156422.790000001,14.27
Velo,2014,12052759.705,1684042.7049999996,13.97
Paseo,2014,27096396.860000007,3697584.8600000003,13.65


=== CATEGORIAS DE DESCUENTO ===
categoria_descuento,cantidad_transacciones,ventas_totales,ganancia_promedio_por_unidad
Descuento alto,492,108426708.72499995,18.704817073170737
Sin descuento,53,7943654.0,20.69811320754717
Descuento bajo,155,2355987.535,4.908967741935481
